pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,n_hyp,n_hyp_offered,winner_margin,rescued,secs
test_A_00000020,A,1,finfet_22nm,1,474.98056671918994,224.49968313492823,9.2281302408799,0.322489735119202,475.078049659729,224.47672924399376,9.219973915551462,0.5512882393305855,0.8913331031799316,0.9324915409088135,0.8913331031799316,0.24764430079825567,0.8913339972496033,379.2936547278733,18553.762450381084,3,3,0.4105926752090454,0,1.6955815090004762
test_A_00000025,A,2,finfet_10nm,1,743.4740905611797,663.7328264229709,11.22409316854937,-0.7693024937758199,743.091410793364,663.8082520365715,11.229718322782844,-0.9339055815073045,0.8748055100440979,0.8993957042694092,0.8748055100440979,0.13012553352177522,0.8748040199279785,588.5118566727155,27535.200709038163,2,2,0.8748055100440979,0,0.706377340000472
test_A_00000030,A,3,finfet_28nm,1,714.6647188024422,721.1709067351237,9.3069130778194,-3.312436077828273,714.266379237175,721.1749160736799,9.303494283099644,-3.497472397167887,0.8400339484214783,0.93021160364151,0.8400339484214783,0.10471582709127387,0.8400339484214783,655.4487921598477,21082.50444608378,3,3,0.8400339484214783,0,1.056493407000744
test_A_00000035,A,4,finfet_45nm,1,372.94013575493113,187.31056657966064,8.647673314988971,-2.846525497593957,373.0350287742913,187.15492688119411,8.62266983546858,-2.7747008956426362,0.7268468141555786,0.830843985080719,0.7268468141555786,0.18955395301425493,0.7268471717834473,344.44763696107793,12442.86447449676,3,3,0.7268468141555786,0,0.9707234970010177
test_A_00000000,A,1,finfet_14nm,1,310.29036781439254,335.82386632668306,9.75228803210116,1.8522376622030563,310.35649913549423,335.89402797818184,9.768110867937157,1.751446404835871,0.7225322723388672,0.9544491767883301,0.7225322723388672,0.3671307687503903,0.7620438933372498,302.45271994526263,14534.32371259636,3,3,0.45404672622680664,0,1.5995566500005225
test_A_00000005,A,2,finfet_7nm,1,93.25826964635444,379.73528701992205,8.150307194758732,3.1359514213127118,92.82327455282211,379.7914522141218,8.160163860280406,3.1637249811658674,0.8676338195800781,0.9121638536453247,0.8676338195800781,0.35500023850644,0.8676339387893677,271.68909676355725,9668.414530761203,3,3,0.7065958827733994,0,1.0179699380005331
test_A_00000010,A,3,dram_dense,1,888.2314800090151,105.72525523438723,11.229161579490906,1.3758330915508434,888.8832331597805,105.66281969845295,11.394078954512628,1.1820939698318051,0.840078592300415,0.9252004027366638,0.840078592300415,0.21331194623575767,0.8400792479515076,538.0441636302178,24525.112454439306,3,3,0.840078592300415,0,1.0044716490010615
test_A_00000015,A,4,dram_dense,1,621.1156799624005,744.1230792116862,8.992983175052604,0.4560997041897998,619.9412373192608,744.0821422860026,8.96374963943693,0.296339438838058,0.8326455950737,0.9245392084121704,0.8326455950737,0.2885606678634798,0.8326463103294373,372.15384173554895,14466.579430772483,3,3,0.8326455950737,0,1.0150032349993126
test_A_00000060,A,1,finfet_10nm,1,720.7693030570106,179.7987646919522,10.88653950718082,1.5199883842690074,720.8294967263937,179.92546669393778,10.8136093517197,1.7935070430134874,0.8901928663253784,0.8901928663253784,0.8948690891265869,0.3671684245780939,0.8948687314987183,385.8110607899332,24130.415674675263,2,2,0.8948690891265869,0,0.6955000050002127
test_A_00000065,A,2,dram_wide,1,269.28777729724226,273.3347119226137,11.039000680517525,0.67029642882998,268.48878583684564,273.29183350503445,10.967598352671208,0.8642425845017244,0.8774436116218567,0.9520214200019836,0.8774436116218567,0.041246249202289295,0.8774445056915283,859.3274915827908,27695.492820708194,3,3,0.3679816722869873,0,0.9652932549997786
