pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,rank,band,margin,n_hyp,n_hyp_offered,winner_margin,rescued,secs,err,correct
test_A_00000001,A,2,finfet_14nm,1,651.9774825258738,253.07754298844333,8.928853190878932,1.4287922546693146,651.9735536258668,253.0638171583414,8.898625547029415,1.3755405989981215,0.9995182623941844,0.9496678709983826,0.8949201703071594,0.109327086799588,0.8949195146560669,661.4198904419935,20315.716941309212,0.3422375917434692,0.9210243225097656,0.8949201703071594,2,0,0.8949201703071594,0,6.72752741700242,0.014277067880071423,1
test_A_00000003,A,4,dram_1x,1,357.02879377922767,765.6372523992105,10.794587300009724,-3.3513437290684367,767.830540664494,137.10823437571526,8.141182450798864,-3.409026328827683,0.089479615005882,0.0187359247356653,0.7903451919555664,0.5550446858677495,0.8501678705215454,62.95162991111179,2624.3579548505268,0.6111644506454468,0.8465267419815063,-0.766795476898551,2,0,-0.766795476898551,0,2.437424874999124,750.8706957536468,0
test_A_00000006,A,3,dram_wide,1,453.3918716405662,340.9236550226419,8.189538182178342,-0.9314495734417888,453.3770500421524,340.9415110349655,8.19388928215935,-1.017187154507052,0.9999904498698284,0.952342927455902,0.83144211769104,0.0060979819138756,0.8314406275749207,3887.011406411551,11160.280601135131,0.3584055304527282,0.8932903409004211,0.83144211769104,3,0,0.83144211769104,0,4.873988583996834,0.023205968103914038,1
test_A_00000010,A,3,dram_dense,1,888.2314800090151,105.72525523438723,11.229161579490906,1.3758330915508434,888.8832331597805,105.66281969845296,11.394078954512628,1.1820939698318051,0.9999681539186348,0.9480289816856384,0.840078592300415,0.0424620717312425,0.8400792479515076,2269.9770822704886,34355.927659312656,0.3249160647392273,0.9203113913536072,0.840078592300415,3,0,0.840078592300415,0,4.329586208001274,0.6547368675125016,1
test_A_00000016,A,1,finfet_45nm,1,843.0669957042647,413.66610795335873,9.752670617889244,2.635383065749971,843.4103927174583,413.6233903467655,9.814077213875144,2.5407148695043884,0.9998007407527988,0.9304397106170654,0.7859150767326355,0.0425204320088906,0.8269468545913696,1389.8973141390663,24718.78439425446,0.6049810647964478,0.9159334897994996,0.7859150767326355,3,0,0.7859150767326355,0,6.6911631250004575,0.34604378708960404,1
test_A_00000020,A,1,finfet_22nm,1,474.98056671918994,224.49968313492823,9.2281302408799,0.322489735119202,475.2018580213189,224.47674256563187,9.219973915551462,0.5512882393305855,0.9999364127492988,0.8980566263198853,0.8913311958312988,0.0177733074808404,0.8913314938545227,2119.2612865877545,35117.67275263229,0.3346188366413116,0.9454254508018494,0.8913311958312988,3,0,0.8913311958312988,0,4.442279333001352,0.22247721258047695,1
test_A_00000022,A,3,dram_compact,1,916.723505353509,712.8271453972657,11.686960547436104,-3.123013928966334,916.854197692126,712.7875790894032,11.63582132669521,-2.918265467998766,0.9999623019361648,0.8760396838188171,0.793653130531311,0.0223695781366186,0.8062247633934021,2747.4962915985384,30501.157434320103,0.4838424324989319,0.8381091952323914,0.7794207138940692,3,0,0.7794207138940692,0,3.5608050000009825,0.1365502841119371,1
test_A_00000024,A,1,finfet_45nm,1,386.13896231114506,478.8901181716259,11.342611375635292,1.363748849241918,385.5913386195898,478.8621670603752,11.370912492217284,1.5099580148322256,0.9808106445535816,0.4301972985267639,0.6779218316078186,0.4606876703928347,0.7121103405952454,443.3067744667446,46553.57796191569,0.5827938318252563,0.8203333020210266,0.4301972985267639,3,0,0.4301972985267639,0,4.496908917000837,0.5483365500974351,1
test_A_00000042,A,3,finfet_14nm,1,632.1161351512972,540.4620251603701,9.12522406939533,-0.3928038438984593,632.4146787524223,540.4743223972619,9.129901859647934,-0.4518547184954995,0.9999004462788386,0.8811575770378113,0.9016311764717102,0.0159980268116791,0.9016313552856444,2413.892306070684,18609.591618790648,0.4242652952671051,0.9661641716957092,0.8562828619033098,3,0,0.8562828619033098,0,3.622643209000671,0.2987967600359139,1
test_A_00000044,A,1,dram_legacy,1,625.8043969768437,236.38101209829767,10.855419988874363,-3.9433669082750935,625.2085245549679,236.43769229203463,10.843809606431009,-3.8194415331485954,0.9999059039029624,0.8573774695396423,0.8839033246040344,0.0136434977820079,0.8839040994644165,2300.4547459965843,28072.372499347435,0.4130418002605438,0.8936395645141602,0.8391798567026854,2,0,0.8391798567026854,0,4.156030165999255,0.5985620999647426,1
