pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,rank,band,margin,n_hyp,secs
test_A_00000004,A,1,dram_loose,1,683.3873685132343,346.5651969516689,10.859237085884391,0.4689477130765933,683.5531175546348,346.60918816924095,10.822280715596204,0.586211720482433,0.8773576617240906,0.8773576617240906,0.9126343131065369,0.7381464832751445,0.9126343727111816,254.7995924763989,21122.51141588394,0.2814333736896515,0.9535341262817383,0.8594812583178282,2,3.2356403750018217
test_A_00000005,A,2,finfet_7nm,1,93.25826964635444,379.73528701992205,8.150307194758732,3.1359514213127113,92.82326981425285,379.791464433074,8.160163860280406,3.1637249811658674,0.8676328063011169,0.9394730925559998,0.8676328063011169,0.0562899872495066,0.8676332831382751,1333.5114841041407,13459.75823070834,0.4566948115825653,0.8818973898887634,0.8676328063011169,2,1.6334228329942562
test_A_00000006,A,3,dram_wide,1,453.3918716405662,340.9236550226419,8.189538182178342,-0.9314495734417888,453.11565436422825,340.9417263045907,8.193790454728102,-1.018466740324052,0.8314352035522461,0.9149062633514404,0.8314352035522461,0.01273919424831168,0.8314351439476013,1896.6210612014852,11121.505648352926,0.3583124279975891,0.8932965993881226,0.807923749089241,3,1.7764020420145243
test_A_00000007,A,4,finfet_10nm,1,63.12915622590532,364.722502437633,9.121909111056205,1.744813398385601,63.043854635208845,364.71006309986115,9.049915673120083,1.675960450675864,0.8066271543502808,0.8066271543502808,0.9383999109268188,0.05296152733201418,0.9417643547058105,1259.8425745130457,22657.441342193888,0.23568877577781677,0.9842227697372437,0.8066271543502808,3,1.7654449589899741
test_A_00000016,A,1,finfet_45nm,1,843.0669957042647,413.66610795335873,9.752670617889244,2.635383065749971,843.9823805093765,413.6642621010542,9.827089763188047,2.5515068186830425,0.7793408632278442,0.8782964944839478,0.7793408632278442,0.024911721761991724,0.8281810879707336,1210.2236616101197,17273.0735943275,0.58433997631073,0.9281982779502869,0.5657790303230286,3,3.602831750002224
test_A_00000017,A,2,finfet_7nm,1,318.32717113050023,574.8896715625057,8.996727499088129,3.885125639779467,318.10037548840046,574.8549123257399,9.051760039548865,3.788293671843974,0.8658470511436462,0.958042323589325,0.8658470511436462,0.09211129269608455,0.8658449649810791,1127.4514174126034,27143.31870989875,0.3316229283809662,0.9128446578979492,0.8658470511436462,3,2.1237825420103036
test_A_00000018,A,3,finfet_22nm,1,490.46987082901535,873.481143973652,8.15953936632283,4.09585474458583,490.6498169749975,873.4721657577902,8.174403586287161,4.087313110010375,0.7512423396110535,0.7512423396110535,0.972841739654541,0.2249800555469382,0.9728409051895142,560.2662113554843,16517.538530239548,0.26850804686546326,0.9950346946716309,0.7512423396110535,2,1.4867996250395663
test_A_00000019,A,4,finfet_10nm,1,445.6684036250523,652.4400890709267,11.803501922471709,1.9283826108255493,445.6993663609028,652.4378958940506,11.775499657453889,1.8358609361654468,0.6118181943893433,0.8481470942497253,0.6118181943893433,0.06440670159773884,0.7208381295204163,1051.16185642408,50729.82700013862,0.5260840654373169,0.6269491314888,0.6118181943893433,3,1.4092260419856757
test_A_00000008,A,1,finfet_45nm,1,181.439870133784,766.3807063172329,10.941057462512347,2.914540925674692,180.70921359956264,766.3697774410248,10.966424446657125,2.6863871930148893,0.8658523559570312,0.8658523559570312,0.8868618607521057,0.17731130605168782,0.8868617415428162,802.5868110868596,22341.541912858716,0.4515973627567291,0.9661747813224792,0.42192018032073975,3,3.6445227499934845
test_A_00000009,A,2,dram_loose,1,290.2456966432096,761.4746573660807,10.689101802491512,-2.7211356397121556,290.3332432806492,761.4751285370439,10.710996027979787,-2.8144956171605964,0.7458632588386536,0.7458632588386536,0.8984453082084656,0.20803691035024627,0.8984467387199402,826.3725175951281,26864.600669279997,0.6769907474517822,0.9124457836151123,0.7141307406127453,3,2.0799375410424545
