pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,n_hyp,n_hyp_offered,secs
test_A_00000004,A,1,dram_loose,1,683.3873685132343,346.5651969516689,10.859237085884391,0.4689477130765933,683.5534179024398,346.60910227149725,10.82295585551732,0.558523148014469,0.8741444945335388,0.8741444945335388,0.912630021572113,0.698845354309791,0.912630021572113,269.5506957561699,22029.422325224332,2,2,0.6483448030003274
test_A_00000005,A,2,finfet_7nm,1,93.25826964635444,379.73528701992205,8.150307194758732,3.1359514213127118,92.82327455282211,379.7914522141218,8.160163860280406,3.1637249811658674,0.8676338195800781,0.937915563583374,0.8676338195800781,0.05561390383163998,0.8676344752311707,1304.0993419892388,13303.851925414687,2,2,0.45848706499964464
test_A_00000006,A,3,dram_wide,1,453.3918716405662,340.9236550226419,8.189538182178342,-0.9314495734417888,453.11565436422825,340.9417263045907,8.193790454728102,-1.018466740324052,0.8314352035522461,0.9114246964454651,0.8314352035522461,0.013344979952154083,0.8314375281333923,1755.7911252441277,11092.48183107939,3,3,0.6923949960000755
test_A_00000007,A,4,finfet_10nm,1,63.12915622590532,364.722502437633,9.121909111056205,1.744813398385601,63.043854635208845,364.71006309986115,9.049915673120083,1.675960450675864,0.7969913482666016,0.7969913482666016,0.9383999109268188,0.06599151832402783,0.9417643547058105,1157.9434293587535,22436.641600792875,3,3,0.5934143489994312
test_A_00000008,A,1,finfet_45nm,1,181.439870133784,766.3807063172329,10.941057462512347,2.914540925674692,180.70921359956264,766.3697774410248,10.966424446657125,2.6863871930148893,0.8622753024101257,0.8622753024101257,0.8868618607521057,0.14692843069532888,0.8868609666824341,860.7882096735807,22321.42368518184,3,3,0.7995842119998997
test_A_00000009,A,2,dram_loose,1,290.2456966432096,761.4746573660807,10.689101802491512,-2.721135639712156,290.3332432806492,761.4751285370439,10.710996027979787,-2.8144956171605964,0.7241368889808655,0.7241368889808655,0.8984453082084656,0.2167038261005987,0.898445725440979,770.190521980269,25856.13001128051,3,3,0.7057576139995945
test_A_00000010,A,3,dram_dense,1,888.2314800090151,105.72525523438723,11.229161579490906,1.3758330915508434,888.8800162672997,105.66803295910358,11.393255184025966,1.1825569283295478,0.8401302695274353,0.9415340423583984,0.8401302695274353,0.07238378147568547,0.8401317000389099,1956.0352115471258,35468.18513549412,2,2,0.4689702320001743
test_A_00000011,A,4,dram_dense,1,926.1110508582492,173.92918778792716,9.641304521681606,0.4205076636848481,925.8674013316631,173.90608259290457,9.518864493840473,0.37802509501023485,0.834030270576477,0.8448567390441895,0.834030270576477,0.020957912143941194,0.8445744514465332,1067.1349407265125,26912.32597776968,3,3,0.622293350000291
test_A_00000000,A,1,finfet_14nm,1,310.29036781439254,335.82386632668306,9.75228803210116,1.8522376622030563,310.38860692083836,335.7414357662201,9.785964761357862,2.093696777320659,0.784974992275238,0.9578775763511658,0.784974992275238,0.025656368425313457,0.7849739193916321,1592.9395068434965,35942.448577027026,3,3,0.8471429579994947
test_A_00000001,A,2,finfet_14nm,1,651.9774825258738,253.07754298844333,8.928853190878932,1.4287922546693146,652.0293028112501,253.0638171583414,8.898625547029415,1.3755405989981215,0.8949201703071594,0.9340857267379761,0.8949201703071594,0.14133797466690506,0.8949202299118042,743.3512894298423,19187.768150466203,3,3,0.647591179000301
