pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,n_hyp,secs
test_B_00000000,B,1,finfet_28nm,1,882.5915274119764,779.962092758821,11.400707230344931,-0.3128462573571777,883.0067867776379,780.065871834755,11.11334426230096,-0.33121404416084843,0.8121998310089111,0.8645277619361877,0.8121998310089111,0.052193200372935906,0.8121996521949768,1552.31284614792,33533.561156607066,2,5.4534687279956415
test_B_00000005,B,2,finfet_10nm,1,203.9262661807864,283.03159240371303,9.696137512032337,-2.022402186298997,205.236251398921,282.9838753324002,9.819027110010335,-2.5713135586712648,0.7800350189208984,0.8689346313476562,0.7800350189208984,0.02540848115802771,0.7800351977348328,1619.2002230556127,20536.671252382006,2,7.71947054399061
test_B_00000010,B,3,finfet_28nm,1,882.9308871635669,720.9221212716368,9.913353708710648,3.3182691695614395,880.6487660706043,720.9656516127288,10.109827035558167,2.9608983543503533,0.5036719441413879,0.8976073265075684,0.5036719441413879,0.0732821455398612,0.5036720633506775,921.3880681099008,26861.962297338836,3,8.92001549199631
test_B_00000015,B,4,dram_legacy,1,445.4891611663634,212.82400962056096,8.830202110623947,4.875314999995252,147.52705760113895,731.5646969303489,11.361653241888469,5.0,0.17561790347099304,0.199553444981575,0.17561790347099304,0.5614267456851411,0.2344215214252472,76.51132547296665,3699.315752343726,3,10.725147838995326
test_B_00000020,B,1,finfet_22nm,1,271.70882117647045,299.79230148517746,11.826808256495925,1.2205180134226603,272.03687173873186,299.78739212453365,11.762795340324054,1.1915343813281742,0.5191781520843506,0.5191781520843506,0.8820018172264099,0.0845384877141759,0.8981119394302368,689.3031130910524,41972.82761361202,3,9.28469021100318
test_B_00000025,B,2,finfet_10nm,1,286.3466033676082,783.3391804223791,8.758131740916593,1.9492766873020797,285.5603168196976,783.4098283573985,8.73301543995746,1.8865942343492321,0.7471518516540527,0.9120591878890991,0.7471518516540527,0.06338288960380775,0.7471513748168945,1189.4523048804724,17912.14868860845,2,6.0905452060105745
test_B_00000030,B,3,dram_wide,1,375.4601060968794,427.0642093721365,9.526766757381395,1.0405473595500343,660.9881654083729,330.2451730668545,8.432585048006047,0.8769352435004065,0.09515561163425446,0.09515561163425446,0.4758307933807373,0.8652105418519415,0.5186628103256226,57.62389599202982,2175.445534329152,3,8.603875989996595
test_B_00000035,B,4,finfet_22nm,1,252.27042985323425,201.2071327224104,11.196759419189949,-2.5613853239324227,251.4860440324992,201.3382327258587,11.341719690980332,-2.4810271943582047,0.36521992087364197,0.7970525026321411,0.36521992087364197,0.17175321159631066,0.36521899700164795,560.7023508451782,21816.10155199775,3,10.86746810900513
test_B_00000040,B,1,dram_wide,1,655.7465361063262,294.60860456201334,9.025077768115151,-1.1825736777440143,655.9014046341181,294.60524198412895,9.048357482797408,-1.3291925066464776,0.784540057182312,0.784540057182312,0.7891998887062073,0.41915352354487384,0.7956231236457825,411.3908823035352,24521.69393493386,2,6.868704206004622
test_B_00000045,B,2,finfet_22nm,1,399.6198689251869,74.70024040469326,8.821640809339563,4.154576898999848,400.856413051486,74.92479473352432,9.01045227589622,4.029661234153278,0.6640320420265198,0.9363738298416138,0.6640320420265198,0.023094274566883514,0.6640324592590332,1106.3011084769225,22927.270687774566,3,10.21696882401011
