pair_id,set,severity,gt_scale,gt_rot,base_err,fix_err,base_score,fix_score,base_rank_basin,fix_rank_basin,base_cands,fix_cands,rescued,broken
test_A_00000003,A,4,10.794587300009724,-3.3513437290684367,750.8131475056261,750.8131475056261,0.011939387768507,0.011939387768507,1,1,"[(8.0747, -3.3269), (10.7522, -3.331), (9.7481, -3.4402)]","[(8.0747, -3.3269), (10.7522, -3.331), (9.7481, -3.4402)]",False,False
test_A_00000099,A,4,11.81527421019326,-1.801975743187884,842.3235976882258,842.3235976882258,0.0836059004068374,0.0836059004068374,0,1,"[(11.6978, -1.8744), (8.0663, -1.7608)]","[(8.0663, -1.7608), (11.6978, -1.8744)]",False,False
test_A_00000255,A,4,11.146020536337604,-2.770738575631687,42.922354729673934,42.922354729673934,0.4192360341548919,0.4192360937595367,0,0,"[(11.2363, -2.7926)]","[(11.2363, -2.7926)]",False,False
test_A_00000353,A,2,10.665687084409612,-4.953062209608455,18.728547222412548,18.728547222412548,0.2017150670289993,0.2017150670289993,1,1,"[(9.3464, -4.9881), (10.527, -4.8628), (11.9042, -4.5393)]","[(9.3464, -4.9881), (10.527, -4.8628), (11.9042, -4.5393)]",False,False
test_A_00000433,A,2,10.808014119313851,-3.817348016267841,240.3913958682623,240.3913958682623,0.1537434458732605,0.153743490576744,0,0,"[(10.8702, -4.104), (8.119, -3.8547)]","[(10.8702, -4.104), (8.119, -3.8547)]",False,False
test_A_00000498,A,3,11.71654845971591,3.3928809587664794,249.74871435205404,249.74871435205404,0.044480312615633,0.044480312615633,0,1,"[(11.6593, 3.2797), (9.4607, 3.4074)]","[(9.4607, 3.4074), (11.6593, 3.2797)]",False,False
test_A_00000580,A,1,9.301271893479107,4.99678027417364,91.53514025267901,1.0088353250033755,0.0,0.7117413282394409,-1,0,"[(11.7745, -0.0743), (10.1051, -0.0459), (10.7907, -3.8656)]","[(9.3464, 4.9146), (11.7745, -0.0743), (10.7907, -3.8656)]",True,False
test_A_00000612,A,1,9.470665773292502,3.876089969976096,10.908973229302998,10.908973229302998,0.1349194794893264,0.1349194496870041,0,0,"[(9.3464, 3.6667), (10.7535, 2.9007), (9.4349, 3.8514)]","[(9.3464, 3.6667), (10.7535, 2.9007), (9.4349, 3.8514)]",False,False
test_A_00000670,A,3,11.99574351704093,-4.416604738053094,7.689467565270226,7.689467565270226,0.562412440776825,0.562412440776825,0,0,"[(11.9993, -4.2793), (8.3336, -4.537), (9.7274, -4.2939)]","[(11.9993, -4.2793), (8.3336, -4.537), (9.7274, -4.2939)]",False,False
test_A_00000732,A,1,10.08030829112311,4.996764429516734,9.946446260005061,9.946446260005061,0.0930354744195938,0.093035452067852,0,0,"[(9.9005, 4.7565), (11.6701, 4.6694), (8.0054, 4.8501)]","[(9.9005, 4.7565), (8.0054, 4.8501), (11.6701, 4.6694)]",False,False
test_B_00000011,B,4,10.927198529885708,-3.1194280909594863,417.0206078021941,417.0206078021941,0.1640771180391311,0.1640770882368087,1,1,"[(8.674, -3.1958), (10.7243, -3.071), (10.7158, -3.0733)]","[(8.674, -3.1958), (10.7243, -3.071), (10.7158, -3.0733)]",False,False
test_B_00000029,B,2,10.597630063794462,2.7900260796433933,146.38857935397354,146.38857935397354,0.7381837964057922,0.7381837368011475,0,0,"[(10.6967, 2.4185), (8.7855, 1.2087), (8.0007, 2.952)]","[(10.6967, 2.4185), (8.7855, 1.2087), (8.0007, 2.952)]",False,False
test_B_00000030,B,3,9.526766757381395,1.0405473595500343,174.72106225053543,174.72106225053543,0.4088510572910309,0.4088510572910309,1,1,"[(8.4757, 0.9223), (9.5282, 0.8568), (11.8619, 0.1661)]","[(8.4757, 0.9223), (9.5282, 0.8568), (11.8619, 0.1661)]",False,False
test_B_00000031,B,4,9.118084858047194,-2.8889998361090576,608.3781665195113,608.3781665195113,0.3100784420967102,0.3100784420967102,0,0,"[(9.0937, -2.0601), (9.8041, -1.2743), (10.4202, -1.3093)]","[(9.0937, -2.0601), (9.8041, -1.2743), (10.4202, -1.3093)]",False,False
test_B_00000042,B,3,10.100777827979153,4.079494752280397,545.1209507529909,545.1209507529909,0.4425960481166839,0.4425960481166839,1,0,"[(11.9874, 4.5704), (9.9986, 4.2962), (8.3358, 2.0797)]","[(9.9986, 4.2962), (11.9874, 4.5704), (8.3358, 2.0797)]",False,False
