pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,zncc,peak_ratio,pose_peak,n_hyp,secs,net_score
test_A_00000004,A,1,dram_loose,1,683.3873685132343,346.5651969516689,10.859237085884391,0.4689477130765933,683.5534179024398,346.60910227149725,10.82295585551732,0.558523148014469,0.5578106641769409,0.912630021572113,0.7460150707751555,0.912630021572113,3,15.304700156000765,0.5578106641769409
test_A_00000005,A,2,finfet_7nm,1,93.25826964635444,379.73528701992205,8.150307194758732,3.135951421312712,92.82370674610138,379.7912748157978,8.161617312483141,3.1463796611535297,0.867624044418335,0.867624044418335,0.0759377199079004,0.8676239252090454,3,5.578047748997051,0.9318820238113404
test_A_00000006,A,3,dram_wide,1,453.3918716405662,340.9236550226419,8.189538182178342,-0.9314495734417888,453.1146941557527,340.9416215531528,8.195589013306455,-1.006090412335941,0.8233188986778259,0.8314723372459412,0.0097640318731652,0.8314726948738098,3,12.845887827003024,0.8233188986778259
test_A_00000007,A,4,finfet_10nm,1,63.12915622590532,364.722502437633,9.121909111056205,1.744813398385601,63.043854635208845,364.7100630998612,9.049915673120084,1.675960450675864,0.8279857635498047,0.9383999109268188,0.1078995077205179,0.9417643547058104,3,20.0484798389989,0.8279857635498047
test_A_00000000,A,1,finfet_14nm,1,310.29036781439254,335.82386632668306,9.75228803210116,1.8522376622030563,310.35649913549423,335.89402797818184,9.768110867937157,1.751446404835871,0.7225322723388672,0.7225322723388672,0.025463409209289,0.7620438933372498,3,12.449668736000604,0.917977213859558
test_A_00000001,A,2,finfet_14nm,1,651.9774825258738,253.07754298844333,8.928853190878932,1.4287922546693146,652.0313651226461,253.0650847107172,8.903692479498496,1.4588337100159832,0.8736259341239929,0.8949875831604004,0.0241982680677526,0.8949883580207825,3,15.553359276000265,0.8736259341239929
test_A_00000002,A,3,dram_loose,1,860.4907481847265,97.80665154149187,8.024551536067126,1.3227701124613676,860.2109935581684,97.865370079875,8.0,1.2306964408249912,0.6608107686042786,0.8827244639396667,0.029261334552226,0.8827267289161682,3,12.680349845999444,0.6608107686042786
test_A_00000003,A,4,dram_1x,1,357.02879377922767,765.6372523992105,10.794587300009724,-3.3513437290684367,768.3832896947861,125.45595564693213,8.141182450798864,-3.4133626588307675,0.0901913493871688,0.8269541263580322,0.5878007923485937,0.8501698970794678,3,15.125435232999736,0.0901913493871688
test_A_00000016,A,1,finfet_45nm,1,843.0669957042647,413.66610795335873,9.752670617889244,2.635383065749971,843.9954963792115,413.621936917305,9.811438748128618,2.561617230011496,0.7853091955184937,0.7853091955184937,0.0544053442598208,0.8269379734992981,3,20.098975051998423,0.8782937526702881
test_A_00000017,A,2,finfet_7nm,1,318.32717113050023,574.8896715625057,8.996727499088129,3.885125639779467,318.0996393337846,574.8587896227837,9.048300557593238,3.7737980546833794,0.8659215569496155,0.8659215569496155,0.0767993190611037,0.8659249544143677,3,13.098789362000389,0.8747525811195374
test_A_00000018,A,3,finfet_22nm,1,490.46987082901535,873.481143973652,8.15953936632283,4.09585474458583,490.64973932504654,873.472268410027,8.176282588916665,4.0772400364928645,0.752790629863739,0.972862184047699,0.1503895748056708,0.9728611707687378,3,17.52497020699957,0.752790629863739
test_A_00000019,A,4,finfet_10nm,1,445.6684036250523,652.4400890709267,11.803501922471709,1.9283826108255493,445.6143699660897,652.4566481932998,11.775934442089897,1.8231078633195932,0.7129887938499451,0.7129887938499451,0.3546003184301516,0.7129858732223511,3,20.93341534499996,0.8941347599029541
test_A_00000008,A,1,finfet_45nm,1,181.439870133784,766.3807063172329,10.941057462512347,2.914540925674692,180.70901288092136,766.3694802820683,10.961891577372194,2.727084755492107,0.8223518133163452,0.8868525624275208,0.0200978775908049,0.8868525624275208,3,19.75488985099946,0.8223518133163452
test_A_00000009,A,2,dram_loose,1,290.2456966432096,761.4746573660807,10.689101802491512,-2.721135639712156,290.3321472108364,761.4742402769625,10.716554721728375,-2.800621124003028,0.7788705825805664,0.898470401763916,0.2120330895182471,0.8984707593917847,3,17.404137751000235,0.7788705825805664
test_A_00000010,A,3,dram_dense,1,888.2314800090151,105.72525523438723,11.229161579490906,1.3758330915508434,888.9557135775685,105.80567222833632,11.450953615828446,1.156452734671041,0.8425635099411011,0.8429709076881409,0.0314423652382202,0.8429713845252991,3,21.34927305399833,0.8425635099411011
test_A_00000011,A,4,dram_dense,1,926.1110508582492,173.92918778792716,9.641304521681606,0.4205076636848481,925.8684476464988,173.91776625066996,9.518865497656508,0.3683661041614092,0.771870493888855,0.8127462863922119,0.0294953593241861,0.8275318145751953,3,15.581556124998317,0.771870493888855
test_A_00000012,A,1,dram_loose,1,469.1280778484901,752.4365817740049,11.53200815787758,4.159249514126607,468.9234320595861,752.4330397248268,11.525868079332854,4.176259474659264,0.2879944145679474,0.7110198140144348,0.2626749510451142,0.7464471459388733,3,20.051265953999973,0.2879944145679474
test_A_00000013,A,2,dram_1x,1,145.56858378834465,862.0555437082555,10.640822675829536,4.8557286517201685,145.55645769834518,862.0296273306012,10.640333573738571,4.899158537375482,0.7740728855133057,0.8306305408477783,0.0474213774029421,0.8306305408477783,3,18.18226832199798,0.7740728855133057
test_A_00000014,A,3,dram_1x,1,551.3835102500851,88.40184505759987,11.590870097270717,-2.7112620264589404,551.4211984723806,88.4539117589593,11.634939174843437,-2.7860277551843184,0.6189152598381042,0.8054496049880981,0.0130634911892947,0.8054496049880981,3,22.25742944999729,0.6189152598381042
test_A_00000015,A,4,dram_dense,1,621.1156799624005,744.1230792116862,8.992983175052604,0.4560997041897998,619.9411618560553,744.0826248154044,8.963769994973816,0.2940246463493445,0.8327450752258301,0.8327450752258301,0.0758346344922304,0.8327458500862122,3,14.858142347002286,0.9328980445861816
test_A_00000020,A,1,finfet_22nm,1,474.98056671918994,224.49968313492823,9.2281302408799,0.322489735119202,475.0834888294339,224.47328981757164,9.222063605912744,0.5471100748327865,0.8002259135246277,0.8913075923919678,0.052186573106841,0.8913068771362305,3,16.61829826900066,0.8002259135246277
test_A_00000021,A,2,finfet_14nm,1,648.8808650035559,503.5664964661066,11.151487981040008,-2.256462748738597,649.0154976993799,503.6521563231945,11.176922372359456,-2.1990136691573428,0.5713660717010498,0.901242196559906,0.0351557202523447,0.90360027551651,3,19.85348584700114,0.5713660717010498
test_A_00000022,A,3,dram_compact,1,916.723505353509,712.8271453972657,11.686960547436104,-3.123013928966334,916.793948441744,712.7809189260006,11.632053213748629,-2.9336985401729616,0.4505327343940735,0.7962481379508972,0.0471293948616723,0.8043994307518005,3,22.065521820997677,0.4505327343940735
test_A_00000023,A,4,dram_wide,1,455.8040262468808,440.4088965192267,10.069488891546886,-2.6875813166715465,456.2559478282929,440.3494112491608,10.102674953811848,-2.837163598018675,0.8324532508850098,0.8324532508850098,0.0073868409606154,0.8324528932571411,3,16.849877092998213,0.8853349685668945
test_A_00000028,A,1,finfet_28nm,1,714.6807082003461,78.40277981631908,10.682002580642646,-0.6593740227723268,715.4974910123274,78.36915947496891,10.539385924591848,-0.6099522458231683,0.7324272394180298,0.8982336521148682,0.2230677835204657,0.8982329964637756,3,18.45695609700124,0.7324272394180298
