pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,zncc,peak_ratio,pose_peak,n_hyp,secs
test_A_00000060,A,1,finfet_10nm,1,720.7693030570106,179.7987646919522,10.88653950718082,1.5199883842690074,720.6836587786674,179.81928132474422,10.8136093517197,1.7935070430134874,0.8640872836112976,0.8735934495925903,0.19374534859987036,0.8948687314987183,2,19.97191244500027
test_A_00000065,A,2,dram_wide,1,269.28777729724226,273.3347119226137,11.039000680517525,0.67029642882998,268.53665152564645,273.247655749321,10.967598352671208,0.8642425845017244,0.8991174101829529,0.8736839294433594,0.015105970959158782,0.8774445056915283,3,19.103003790000002
test_A_00000070,A,3,finfet_14nm,1,911.212306614395,131.52968134200972,9.249179248122356,-2.1401118412660844,911.0824454724789,131.50333812832832,9.227158814474013,-2.190548050485517,0.9065306782722473,0.9166767597198486,0.035900153533475865,0.9169588685035706,2,18.55653471900041
test_A_00000075,A,4,finfet_22nm,1,860.9078863795041,818.440229828103,10.24658697003468,3.4819907588537085,860.9405940175056,818.456626392901,10.214352555117102,3.45532554535027,0.6474484205245972,0.9410161972045898,0.20544464832851578,0.9579074382781982,1,8.708102284001143
test_A_00000040,A,1,dram_wide,1,818.3302220126327,514.6235956191861,10.498161100406463,2.618713993363292,818.2582567334175,514.626029074192,10.49775185095013,2.4474090988161867,0.8880161046981812,0.9304143786430359,0.10839772263374187,0.9309545755386353,1,9.151003987000877
test_A_00000045,A,2,finfet_7nm,1,600.0022067570972,474.8285662896759,11.120738943884303,1.5748584775242254,599.961717557162,474.827140763402,11.10992433656844,1.4583707515182405,0.7025763392448425,0.8490332365036011,0.06578906596308307,0.858096182346344,2,17.700548318000074
test_A_00000050,A,3,dram_legacy,1,96.37455392996918,888.3259920373237,9.176720887471356,2.583661161197231,96.02521613240242,888.3169419318438,9.125729696795775,2.6143605276915376,0.8856459259986877,0.8051660060882568,0.010642305086732846,0.8209049701690674,3,17.08996575600031
test_A_00000055,A,4,finfet_45nm,1,302.91164133195605,613.5521744721157,8.279711709793311,-1.2162075008288469,303.3664452582598,613.5703331306577,8.253526136557245,-1.0491747191671572,0.8504129648208618,0.8039999008178711,0.2722377165769457,0.8040205240249634,3,23.00748046999979
test_A_00000160,A,1,finfet_14nm,1,65.48841973516215,628.1756214010052,10.335512340794336,0.5837553866592851,65.33238644897938,628.1578905880451,10.261172447687025,0.5130520968292536,0.9421047568321228,0.9185324907302856,0.013037645527190963,0.9202688336372375,3,28.787183332000495
test_A_00000165,A,2,finfet_22nm,1,898.5487997718208,200.51807293616173,8.626496698894453,0.3023622602890485,898.2164157629013,200.49420247226954,8.648186825959197,0.30417239548874175,0.8894640803337097,0.9268814325332642,0.010114862688337677,0.9283685684204102,2,14.235997031999432
test_A_00000170,A,3,dram_wide,1,195.8869499260324,496.7979445771954,8.197046404117089,4.483446493579455,196.14218989014626,496.84734988212585,8.206414561313045,4.512491386673396,0.7950829267501831,0.9339779615402222,0.02242588813652433,0.9397459030151367,2,19.597914256000877
test_A_00000175,A,4,finfet_22nm,1,819.5749050150051,811.1866910239078,11.58475416400848,4.338100536426516,738.4470482170582,367.7594083249569,9.670668573654613,4.272403410181092,0.015339615754783154,0.905314564704895,0.6607707330560464,0.9134307503700256,3,21.067307088000234
test_A_00000100,A,1,finfet_28nm,1,605.2979937636377,472.1687806209797,9.751302530954154,-0.7037500380224166,605.9033910259604,472.1298161149025,9.737842333187771,-0.7246606733271642,0.8473861813545227,0.924808919429779,0.025835927187033408,0.9259934425354004,3,22.238964936999764
test_A_00000105,A,2,finfet_45nm,1,805.1951240714762,187.84283468142064,9.868816944664651,-1.2641498512365548,805.5266408622265,187.86035595834255,9.937340652785972,-1.4830371938544618,0.8612315654754639,0.8185815215110779,0.017113024175676936,0.830752968788147,3,24.062407491001068
test_A_00000110,A,3,dram_loose,1,208.27811348701056,159.422976342273,11.561312833184388,-4.801739911590063,207.9698036313057,159.32004857063293,11.543941765516434,-4.542371200179131,0.7942324876785278,0.9347027540206909,0.07036584306503335,0.9346751570701599,3,31.959171931999663
test_A_00000115,A,4,dram_legacy,1,756.2853053548943,273.27145345398014,10.549877280056506,4.694612412444515,756.5186949670315,273.2775446474552,10.578960074082795,4.832559812834076,0.8342549800872803,0.8023309111595154,0.21031459990357573,0.8226425647735596,2,12.515700347999882
test_A_00000000,A,1,finfet_14nm,1,310.29036781439254,335.82386632668306,9.75228803210116,1.8522376622030563,310.2796599268913,335.8391250669956,9.768110867937157,1.751446404835871,0.9179772138595581,0.7667136788368225,0.025463417325591375,0.7620438933372498,3,24.187381494000874
