set,sev,gt_m,gt_r,m,r,conf,m_err,r_err
A,1,9.75228803210116,1.8522376622030563,10.0,0.0,0.0,0.0254003949722833,1.8522376622030563
A,2,8.928853190878932,1.4287922546693146,10.0,0.0,0.0,0.11996465685148383,1.4287922546693146
A,3,8.024551536067126,1.3227701124613676,10.0,0.0,0.0,0.24617555947569525,1.3227701124613676
A,4,10.794587300009724,-3.3513437290684367,10.0,0.0,0.0,0.07360978960344393,3.3513437290684367
A,1,10.859237085884391,0.4689477130765933,10.0,0.0,0.0,0.07912499553042164,0.4689477130765933
A,2,8.150307194758732,3.1359514213127118,10.0,0.0,0.0,0.2269476181745348,3.1359514213127118
A,3,8.189538182178342,-0.9314495734417888,10.0,0.0,0.0,0.2210700747157505,0.9314495734417888
A,4,9.121909111056205,1.744813398385601,10.0,0.0,0.0,0.0962617450199658,1.744813398385601
A,1,10.941057462512347,2.914540925674692,10.0,0.0,0.0,0.08601156384898982,2.914540925674692
A,2,10.689101802491512,-2.721135639712156,10.0,0.0,0.0,0.0644676994591716,2.721135639712156
A,3,11.229161579490906,1.3758330915508434,10.0,0.0,0.0,0.10946156316210319,1.3758330915508434
A,4,9.641304521681606,0.4205076636848481,10.0,0.0,0.0,0.03720403992133538,0.4205076636848481
A,1,11.53200815787758,4.159249514126607,10.0,0.0,0.0,0.13284834149471678,4.159249514126607
A,2,10.640822675829536,4.8557286517201685,10.0,0.0,0.0,0.06022303870218185,4.8557286517201685
A,3,11.590870097270717,-2.7112620264589404,10.0,0.0,0.0,0.1372519995410281,2.7112620264589404
A,4,8.992983175052604,0.4560997041897998,10.0,0.0,0.0,0.1119780617115972,0.4560997041897998
A,1,9.752670617889244,2.635383065749971,10.0,0.0,0.0,0.025360169721827967,2.635383065749971
A,2,8.996727499088129,3.885125639779467,10.0,0.0,0.0,0.11151527052626176,3.885125639779467
A,3,8.15953936632283,4.09585474458583,10.0,0.0,0.0,0.22555937915728075,4.09585474458583
A,4,11.803501922471709,1.9283826108255493,10.0,0.0,0.0,0.1527938008836319,1.9283826108255493
A,1,9.2281302408799,0.322489735119202,10.0,0.0,0.0,0.08364313668881457,0.322489735119202
A,2,11.151487981040008,-2.256462748738597,10.0,0.0,0.0,0.10325868467040378,2.256462748738597
A,3,11.686960547436104,-3.123013928966334,10.0,0.0,0.0,0.14434553283455648,3.123013928966334
A,4,10.069488891546886,-2.6875813166715465,10.0,0.0,0.0,0.006900935320085636,2.6875813166715465
A,1,11.342611375635292,1.363748849241918,10.0,0.0,0.0,0.118368806897441,1.363748849241918
A,2,11.22409316854937,-0.7693024937758199,10.0,0.0,0.0,0.109059426910261,0.7693024937758199
A,3,10.058180132361365,0.1736430972398981,10.0,0.0,0.0,0.005784359754522081,0.1736430972398981
A,4,11.843835896101451,0.6233148599517158,10.0,0.0,0.0,0.1556789466078615,0.6233148599517158
A,1,10.682002580642646,-0.6593740227723268,10.0,0.0,0.0,0.0638459479385012,0.6593740227723268
A,2,9.53973899009468,1.3088350504461932,10.0,0.0,0.0,0.048246708886188525,1.3088350504461932
A,3,9.3069130778194,-3.312436077828273,10.0,0.0,0.0,0.07447011875853782,3.312436077828273
A,4,9.888273145182742,-0.088255504522138,10.0,0.0,0.0,0.011298924814965057,0.088255504522138
A,1,9.477744755882997,-4.489286255264925,10.0,0.0,0.0,0.055103324426713514,4.489286255264925
A,2,9.582058582689609,-4.200814325540076,10.0,0.0,0.0,0.043617080161190015,4.200814325540076
A,3,10.064514699210084,2.1125397419436838,10.0,0.0,0.0,0.0064101152552490095,2.1125397419436838
A,4,8.647673314988971,-2.846525497593957,10.0,0.0,0.0,0.15638040843506976,2.846525497593957
A,1,9.140199144357982,-2.1111951605859414,10.0,0.0,0.0,0.09406806592094345,2.1111951605859414
A,2,11.519837279931943,-3.9622378705877415,10.0,0.0,0.0,0.13193218298140078,3.9622378705877415
A,3,9.814587783626758,-2.8305733501431787,10.0,0.0,0.0,0.018891492996023464,2.8305733501431787
A,4,10.958064310063424,0.7286762563667626,10.0,0.0,0.0,0.08743006820863226,0.7286762563667626
A,1,10.498161100406463,2.618713993363292,10.0,0.0,0.0,0.04745222478888952,2.618713993363292
A,2,9.151915024107868,4.92763146594347,10.0,0.0,0.0,0.09266748802388527,4.92763146594347
A,3,9.12522406939533,-0.3928038438984593,10.0,0.0,0.0,0.09586350142771191,0.3928038438984593
A,4,11.689331396925663,-1.3286562467159555,10.0,0.0,0.0,0.14451907808601983,1.3286562467159555
A,1,10.855419988874363,-3.9433669082750935,10.0,0.0,0.0,0.07880118777081647,3.9433669082750935
