score,zncc,peak_ratio,pose_peak,psr,apce,found,err
0.07404158264398575,0.4573446214199066,0.9402017148245574,0.6486751437187195,53.07539524575382,1780.3697341326115,0,
0.07689695805311203,0.2674086391925812,0.9882158932306037,0.5581350922584534,24.73055911730694,360.3476427820687,1,281.80768714205277
0.11983700841665268,0.3702564239501953,0.34293716878703273,0.9491589665412903,174.97631339148666,14924.123473706102,0,
0.22922395169734955,0.42862367630004883,0.70957551144744,0.707118809223175,85.04561105172245,4875.42873287077,1,1202.9574434207154
0.022144760936498642,0.3721628785133362,0.5694827552271964,0.5932920575141907,37.040067496185685,639.9633586986238,0,
0.0716206505894661,0.0,0.7972098754977889,0.6189360022544861,61.66320628188319,2554.0217402044486,1,764.1903780920446
0.04526187852025032,0.0,0.8685502827061934,0.8098917603492737,45.07041094012802,1171.0512620571537,1,1134.4613324664551
0.0199753288179636,0.29405879974365234,0.904700996524394,0.7360144853591919,21.21925994979403,301.99405819986606,1,476.69557598582657
0.03112444281578064,0.4293473958969116,0.5822620463382943,0.7299234867095947,56.18619238193375,1635.541827604497,1,221.43075241774605
0.015547618269920349,0.5621662139892578,0.9773724030389608,0.803688645362854,29.768295051815148,396.5775856958931,1,755.6249965145904
0.015734052285552025,0.5379466414451599,0.6724949997957892,0.6491439938545227,29.617343337073212,502.04576875782243,0,
0.01536442432552576,0.30133506655693054,0.5650940677105669,0.6754554510116577,29.029056438171633,341.3622558049073,1,569.1032924135142
0.3437284231185913,0.0,0.8826321710839587,0.7428647875785828,84.63874921343636,5976.101888802081,0,
0.1397000402212143,0.3371511399745941,0.9326623439445144,0.5416290163993835,48.79805492585528,1562.3971262646828,1,973.5795391305531
0.24742260575294495,0.0,0.9054316214222262,0.7530220746994019,77.6146379750753,4488.362296114056,1,433.5014097111544
0.09563840925693512,0.4661586880683899,0.8100986493845223,0.7449056506156921,86.08769792482092,2707.2275703283017,1,975.2266203665591
0.19255408644676208,0.28216585516929626,0.5497565563330874,0.6626323461532593,183.34410825942555,8855.722629405422,0,
0.14336739480495453,0.20305289328098297,0.8295202699282617,0.8161379098892212,108.56051654712692,6679.296923969432,1,512.5368154973186
0.048050981014966965,0.592736005783081,0.6740612750838522,0.9283550977706909,73.05675016958745,2996.068481855003,0,
0.11314238607883453,0.3774450123310089,0.8499821608651394,0.7182822823524475,70.52922723569696,3753.006022095484,1,937.4110185549996
0.039520781487226486,0.248525470495224,0.5337055753541478,0.5120972394943237,71.42127772720023,2744.7118691740534,0,
0.15165266394615173,0.38656145334243774,0.8801068619992969,0.7372581958770752,77.04066615058214,3798.3980911521144,0,
0.39558374881744385,0.40444982051849365,0.34564584195320813,0.698823869228363,200.94701654340793,18191.73657128186,1,331.35952299422365
0.16430197656154633,0.36942070722579956,0.31771596152735154,0.5039814710617065,191.36756671748256,17639.60802003648,0,
0.03332572430372238,0.5501803755760193,0.9436527016123534,0.7072328925132751,39.625759712316565,835.3282716038525,1,686.216487293895
0.03937675803899765,0.0,0.9794898221571415,0.6276481747627258,48.3206211052124,1423.2416600544775,0,
0.5164717435836792,0.4115101099014282,0.4731340590456411,0.7415449023246765,261.35213783057026,30686.674729114016,0,
0.16690173745155334,0.18937812745571136,0.33568203485067655,0.882855236530304,149.82330422070478,10241.11572248188,0,
0.01838962361216545,0.15048108994960785,0.730760173299433,0.8224579095840454,32.63379340950429,567.3980665361265,0,
