split,id,mode,severity,gt_m,gt_rot,generated,top1,first_hit,best_s_err,best_r_err,band,n_cands,secs
sev1,0,none,0.2500002945888417,9.487745287251188,0.0957161614167017,True,True,0,0.010795468617387465,0.028895636081405635,False,3,0.3676307999994606
sev1,1,none,0.2500009404829125,9.559484788815226,3.543262150707429,True,False,1,0.026103101900604306,0.18258237570953195,False,3,0.40180730000065523
sev1,2,none,0.2500005194594489,10.899305837889951,-3.0657410653745965,True,True,0,0.020068080858834613,0.058870732123510905,False,2,0.33544419999998354
sev1,3,none,0.2500006606029349,9.433418813360277,4.441705200859506,True,True,0,0.0008018505712970092,0.09418104335803346,False,2,0.666657200001282
sev1,4,none,0.2500003445846022,9.564261559623192,-3.95284836663766,True,True,0,0.008175600555876388,0.10287972336318063,False,3,0.9701365000000806
sev1,5,none,0.2500007085511003,10.787873810515084,-3.019182474368041,True,True,0,0.006139129628124448,0.09227370563364135,False,3,1.0266068999990239
sev1,6,none,0.250000073194484,11.66699948268141,3.6001800159516364,True,True,0,0.0030027833191652187,0.016587880950374778,False,2,0.6067719000002398
sev1,7,none,0.2500004947616969,8.676872501240391,0.1584343984484721,True,True,0,0.020425500660976224,0.03382260095036477,False,3,0.9992199999996956
sev1,8,none,0.2500001962812387,11.424383857651817,2.0490951454060955,True,True,0,0.007838336488353885,0.07551665209201186,False,3,0.8480034000003798
sev1,9,none,0.2500006461412543,10.689700714204331,-4.60827507868875,True,False,1,0.005400965330816908,0.13613912368917003,False,3,0.7629395999992994
sev1,10,none,0.2500004816725212,11.26422502731596,1.9425797567673009,True,True,0,0.0024996881496853595,0.5261718917685625,False,3,1.0458405999997922
sev1,11,none,0.2500009047243601,9.86461854722967,-0.1562101826302742,True,True,0,0.019706636015831627,0.024129704868674273,False,3,0.8212095999988378
sev1,12,none,0.2500009164626485,8.463758706830355,-4.572696853564576,True,False,2,0.0026358585401816065,0.04483280856415561,False,3,1.0479974999998376
sev1,13,none,0.2500007149590038,11.350148946047735,1.899342625473452,True,True,0,0.007596105034158762,0.04492928452570677,False,3,1.0579096999990725
