pair_id,severity,native_error,undistorted_error,native_peak,undistorted_peak,k
test_B_00000000,1,0.6444165610880646,0.3646823204408087,0.5898544192314148,0.8319392800331116,-0.0121394723257389
test_B_00000001,2,1.3640746274777484,0.7459560492222681,0.1805969923734665,0.5273754000663757,-0.0149039413549198
test_B_00000002,3,0.0012147392893098186,0.22652758210496507,0.6326833367347717,0.8318741321563721,0.0136942497430091
test_B_00000003,4,0.36579908742004363,1.6005609261439526,0.2850103974342346,0.30869510769844055,0.0075368936757314
test_B_00000004,1,0.04182769636486228,0.04294699287240418,0.8857588768005371,0.8926613926887512,0.0016063281806255
test_B_00000005,2,0.3320083864658159,0.13659756799051756,0.7117392420768738,0.8814114928245544,0.0122806048247176
test_B_00000006,3,0.48908869931483423,2.630288071590843,0.08260529488325119,0.06373744457960129,-0.0158860712329347
test_B_00000007,4,0.1512992341131394,2.181508321204924,0.07846322655677795,0.0780712440609932,0.0219885051298627
test_B_00000008,1,0.055784030067798085,0.10818600176938037,0.8530957102775574,0.8880294561386108,-0.0007341429946754
test_B_00000009,2,0.9247173323484503,0.45449776936657094,0.5682277083396912,0.8517277836799622,0.0185536850550959
test_B_00000010,3,0.5468043395751465,0.07085543402400858,0.5631735324859619,0.6412944793701172,0.0137784786639319
test_B_00000011,4,0.007952844371857282,0.2210782080479585,0.5231001377105713,0.7099581360816956,-0.0119528233373019
test_B_00000012,1,,,,,0.0142869059592103
test_B_00000013,2,0.07519281424727353,0.5799567547085105,0.26049643754959106,0.533325731754303,0.0180140413465096
test_B_00000014,3,0.36444745886194596,0.32720625059678,0.7736899852752686,0.8140121102333069,0.0006341166272794
test_B_00000015,4,1.0078795144790433,0.7251185235980435,0.49219638109207153,0.5728916525840759,-0.021987818474115
test_B_00000016,1,0.01593446978125712,0.024571866586239104,0.7965035438537598,0.7985342741012573,-0.0170009395253692
test_B_00000017,2,0.2569306835498537,0.02057331935355275,0.5650017857551575,0.7212387919425964,-0.0165775827648969
test_B_00000018,3,0.02506454100210931,0.021113494553498813,0.8421887755393982,0.8448112607002258,0.0016377866244924
test_B_00000019,4,1.1716460470413494,0.05390828018830254,0.25652220845222473,0.5105944871902466,-0.0126152952717112
test_B_00000020,1,0.10543620485179872,0.12957807074501262,0.6622671484947205,0.797640323638916,-0.0130442130059851
test_B_00000021,2,0.2938983275475948,0.08715143583853772,0.8451500535011292,0.8910489678382874,-0.0072748617176062
test_B_00000022,3,1.8337943070900877,1.9277919389651406,0.08418601751327515,0.08167824149131775,0.0001980141025995
test_B_00000023,4,0.48719260154359745,0.06351507708751117,0.39185959100723267,0.49652913212776184,-0.0213365989408491
test_B_00000024,1,0.018407358340937208,0.013578309857746558,0.9040381908416748,0.903052031993866,0.0024988139159452
test_B_00000025,2,0.314356625210678,0.3547981768534738,0.20839372277259827,0.22290833294391632,-0.0022123848388166
test_B_00000026,3,1.7986937328550994,1.6012587510160394,0.719743549823761,0.8154911398887634,-0.0075910993488989
test_B_00000027,4,0.49593355254731364,0.3417277303529942,0.544283390045166,0.8047341704368591,-0.0026642829410957
test_B_00000028,1,0.39171867095456037,0.19415487304486873,0.7785292863845825,0.8115193247795105,0.0153709377536089
test_B_00000029,2,0.18189476560326057,0.5673717105320446,0.7674264311790466,0.9077650308609009,0.0201705686138845
test_B_00000030,3,0.03210755409372723,0.033042027511439476,0.2777477204799652,0.27813199162483215,-0.00029354256134
test_B_00000031,4,0.5195999846603172,0.5721152765003252,0.48636379837989807,0.49805358052253723,-0.0024221278934284
test_B_00000032,1,0.1149047251558386,0.08387191911491917,0.7464869022369385,0.7535224556922913,0.0004255044825991
test_B_00000033,2,0.10312033408860088,0.0864594060566821,0.7100487947463989,0.7967165112495422,0.0062759258685585
test_B_00000034,3,0.21083099805923666,0.2794997712927156,0.6729835271835327,0.7309735417366028,-0.0013233985611511
test_B_00000035,4,,,,,0.0113450590501426
test_B_00000036,1,0.11797688687630625,0.09007691927610462,0.40251424908638,0.49249163269996643,0.005717241026643
test_B_00000037,2,0.12636902662916327,0.48148479879541234,0.7740429043769836,0.8330798149108887,-0.0134631111145125
test_B_00000038,3,1.8470707614773119,1.8038426465632353,0.13868413865566254,0.1229703426361084,0.0073993975759025
test_B_00000039,4,0.019190762132438977,0.23822973541229056,0.5209269523620605,0.608206033706665,-0.0100726383541763
test_B_00000040,1,0.2792017762442356,0.22769400327497055,0.8496211171150208,0.8990352153778076,0.0151474537331648
test_B_00000041,2,0.5059177056461976,0.3673869326679106,0.3002426028251648,0.3798624277114868,-0.0175158722572097
test_B_00000042,3,0.053197677073058,0.0563469568366094,0.5574740171432495,0.5753581523895264,0.0018773807646665
test_B_00000043,4,0.24719120633091052,0.27725928810224343,0.39556583762168884,0.4213203489780426,-0.0089214126893722
test_B_00000044,1,0.2710802677040647,0.14892035982608623,0.8675608038902283,0.9342443943023682,0.0033420679052545
test_B_00000045,2,0.5741220802337921,0.05809897955412196,0.7451338171958923,0.722503662109375,0.0167889967641987
test_B_00000046,3,,2.8728847067238465,,0.32221055030822754,-0.0192279153975807
test_B_00000047,4,2.2854679526417385,0.9855979085146728,0.0744234174489975,0.0859905481338501,-0.0112622617298501
test_B_00000048,1,0.5936651505031705,0.537668504449217,0.8998700380325317,0.9540616869926453,0.0118702917394951
test_B_00000049,2,2.3816388841105436,2.6672171041810926,0.17017239332199097,0.2535953223705292,0.0042893456240146
test_B_00000050,3,0.22149453355666537,0.16584691671955998,0.6501007080078125,0.6716446876525879,-0.0214949535802724
test_B_00000051,4,2.193518162133273,0.5545078259551105,0.5553603768348694,0.6113215684890747,-0.0016244404116115
test_B_00000052,1,0.30142635830850395,0.711475572632565,0.30962175130844116,0.4242893159389496,0.0058307655316649
test_B_00000053,2,0.9420100218213747,0.3684772879853463,0.39504650235176086,0.46861347556114197,0.0103460126040064
test_B_00000054,3,0.20182958337932178,0.05576686677480606,0.48031729459762573,0.49731284379959106,0.0151623302587005
test_B_00000055,4,0.5250201016951905,0.38081138724160046,0.4629582464694977,0.545389711856842,0.0076427996457617
test_B_00000056,1,,,,,0.0025104903252447
test_B_00000057,2,0.03935447379831203,1.3807987876653354,0.3547298312187195,0.1473192572593689,-0.0150306858238615
